ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,PHOSPHORUS,FRACROTBOND,CHIRALCENTERS,HALOGEN
DB00006,O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)C(NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@]2N(C(=O)[C@@](NC(=O)[C@]3N(C(=O)[C@](N)Cc4ccccc4)CCC3)CCCNC(=N)N)CCC2)CC(=O)N)CC(=O)O)Cc2ccccc2)CCC(=O)O)CCC(=O)O)[C@](CC)C)CCC1)CCC(=O)O)CCC(=O)O)Cc1ccc(O)cc1)CC(C)C,FDA,29,28,-8.1164303,901.57001,2180.3169,0.54081631,155,6,57,66,0,3,3,0,3,0,18,0,0,0,0,0,24,33,0,0.53750002,16,0
DB00007,O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1C(C(=O)NCC)CCC1)CCCN=C(N)N)CC(C)C)CC(C)C)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,FDA,14,15,-1.4381,431.54001,1209.421,0.52542371,87,6,28,32,0,2,2,2,4,0,20,0,0,0,0,0,16,12,0,0.44565219,9,0
DB00014,O=C(NNC(=O)[C@]1N(C(=O)[C@@](NC(=O)C(NC(=O)[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2NC(=O)CC2)Cc2nc[nH]c2)Cc2c3c([nH]c2)cccc3)CO)Cc2ccc(O)cc2)COC(C)(C)C)CC(C)C)CCCN=C(N)N)CCC1)N,FDA,16,17,-3.1057,495.89001,1269.433,0.50847459,91,6,32,31,0,2,2,2,4,0,20,0,0,0,0,0,18,14,0,0.44791666,9,0
DB00027,O=C(N[C@@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)NCCO)Cc1c2c([nH]c1)cccc2)CC(C)C)Cc1c2c([nH]c1)cccc2)CC(C)C)Cc1c2c([nH]c1)cccc2)CC(C)C)Cc1c2c([nH]c1)cccc2)C(C)C)[C@@](NC(=O)[C@](NC(=O)[C@@](NC(=O)C(NC(=O)CNC(=O)[C@@](NC=O)C(C)C)CC(C)C)C)C(C)C)C(C)C,FDA,16,20,4.8676,519.89001,1811.2531,0.51041669,131,8,35,51,0,0,4,4,8,0,36,0,0,0,0,0,19,16,0,0.4710145,13,0
DB00035,O=C(NCC(=O)N)C(NC(=O)[C@]1N(C(=O)[C@]2NC(=O)[C@](CC(=O)N)NC(=O)[C@](CCC(=O)N)NC(=O)[C@](Cc3ccccc3)NC(=O)[C@](Cc3ccc(O)cc3)NC(=O)CCSSC2)CCC1)CCCNC(=N)N,FDA,15,14,-4.13203,435.41,1069.238,0.47826087,74,4,28,19,0,2,2,0,2,0,12,0,0,0,0,0,14,12,0,0.29870129,7,0
DB00050,Clc1ccc(C[C@@](NC(=O)C(NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@@](C(=O)N)C)CCC2)CCCN=C(N)N)CC(C)C)CCCNC(=O)N)Cc2ccc(O)cc2)CO)Cc2cnccc2)cc1,FDA,16,16,-0.71579999,498.17001,1431.064,0.42857143,102,6,32,38,0,1,4,1,5,0,28,0,0,1,0,0,17,14,0,0.45794392,10,1
DB00067,O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCCNC(=N)N,FDA,16,15,-5.1948299,461.42999,1084.2531,0.47826087,75,4,29,19,0,2,2,0,2,0,12,0,0,0,0,0,15,12,0,0.29487181,8,0
DB00080,O=C(N[C@](C(=O)N[C@@]1C(=O)NCC(=O)N[C@@](CCCN)C(=O)N[C@@](CC(=O)O)C(=O)N[C@](C)C(=O)N[C@@](CC(=O)O)C(=O)NCC(=O)N[C@](CO)C(=O)N[C@@]([C@@](CC(=O)O)C)C(=O)N[C@@](CC(=O)c2c(N)cccc2)C(=O)O[C@@]1C)CC(=O)O)[C@](NC(=O)C(NC(=O)CCCCCCCCC)Cc1c2c([nH]c1)cccc2)CC(=O)N,FDA,24,22,-5.6217999,702.02002,1620.693,0.52777779,115,4,43,35,0,1,2,1,3,0,15,0,0,0,0,0,17,26,0,0.33050847,13,0
DB00091,O=C1N(C)C([C@](O)[C@@](C/C=C/C)C)C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)[C@@](CC(C)C)C(=O)N[C@@](C(C)C)C(=O)N(C)[C@@](CC(C)C)C(=O)N[C@@](C)C(=O)N[C@](C)C(=O)N(C)[C@@](CC(C)C)C(=O)N(C)[C@@](CC(C)C)C(=O)N(C)[C@]1C(C)C,FDA,12,5,3.2690001,278.79999,1202.635,0.7903226,85,1,23,15,0,1,0,0,0,0,0,0,0,0,0,0,11,12,0,0.17647059,12,0
DB00106,Clc1ccc(C[C@@](NC(=O)C(NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@](C(=O)N[C@](C(=O)N([C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@@](C(=O)N)C)CCC2)CCCCNC(C)C)CC(C)C)CC(=O)N)Cc2ccc(O)cc2)C)CO)Cc2cnccc2)cc1,FDA,16,13,1.168,424.98001,1416.089,0.45833334,101,6,29,38,0,1,4,1,5,0,28,0,0,1,0,0,14,14,0,0.4528302,10,1
