ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
DB00006,O=C(O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1N(C(=O)C(NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)CNC(=O)[C@@](NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@]2N(C(=O)[C@@](NC(=O)[C@]3N(C(=O)[C@](N)Cc4ccccc4)CCC3)CCCNC(=N)N)CCC2)CC(=O)N)CC(=O)O)Cc2ccccc2)CCC(=O)O)CCC(=O)O)[C@](CC)C)CCC1)CCC(=O)O)CCC(=O)O)Cc1ccc(O)cc1)CC(C)C,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a5083139fc0>,O=C([CH]NC(=O)[CH]NC(=O)[C]1CCCN1C(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[C](Cc1ccccc1)NC(=O)[CH]NC(=O)CNC(=O)[CH]NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C]1CCCN1C(=O)[CH]NC(=O)[C]1CCCN1C(=O)[CH]Cc1ccccc1)N[CH]Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a50824f7760>
DB00007,O=C(N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N1C(C(=O)NCC)CCC1)CCCN=C(N)N)CC(C)C)CC(C)C)Cc1ccc(O)cc1)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1NC(=O)CC1)Cc1nc[nH]c1)Cc1c2c([nH]c1)cccc2)CO,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a508313a030>,O=C([CH]NC(=O)[CH]NC(=O)[C](Cc1ccccc1)NC(=O)[CH]NC(=O)[C](Cc1c[nH]c2ccccc12)NC(=O)[C](Cc1c[nH]cn1)NC(=O)[C]1CCC(=O)N1)N[CH]C(=O)N1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7a50824f77d0>
DB00014,O=C(NNC(=O)[C@]1N(C(=O)[C@@](NC(=O)C(NC(=O)[C@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2NC(=O)CC2)Cc2nc[nH]c2)Cc2c3c([nH]c2)cccc3)CO)Cc2ccc(O)cc2)COC(C)(C)C)CC(C)C)CCCN=C(N)N)CCC1)N,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a508313a0a0>,O=C([CH]NC(=O)[C](Cc1ccccc1)NC(=O)[CH]NC(=O)[C](Cc1c[nH]c2ccccc12)NC(=O)[C](Cc1c[nH]cn1)NC(=O)[C]1CCC(=O)N1)NCC(=O)N[CH]C(=O)N1[CH]CCC1,<rdkit.Chem.rdchem.Mol object at 0x7a50824f7840>
DB00027,O=C(N[C@@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)NCCO)Cc1c2c([nH]c1)cccc2)CC(C)C)Cc1c2c([nH]c1)cccc2)CC(C)C)Cc1c2c([nH]c1)cccc2)CC(C)C)Cc1c2c([nH]c1)cccc2)C(C)C)[C@@](NC(=O)[C@](NC(=O)[C@@](NC(=O)C(NC(=O)CNC(=O)[C@@](NC=O)C(C)C)CC(C)C)C)C(C)C)C(C)C,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a508313a110>,O=C([CH]Cc1c[nH]c2ccccc12)N[CH]C(=O)N[C](Cc1c[nH]c2ccccc12)C(=O)N[CH]C(=O)N[C](Cc1c[nH]c2ccccc12)C(=O)N[CH]C(=O)N[CH]Cc1c[nH]c2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a50824f78b0>
DB00035,O=C(NCC(=O)N)C(NC(=O)[C@]1N(C(=O)[C@]2NC(=O)[C@](CC(=O)N)NC(=O)[C@](CCC(=O)N)NC(=O)[C@](Cc3ccccc3)NC(=O)[C@](Cc3ccc(O)cc3)NC(=O)CCSSC2)CCC1)CCCNC(=N)N,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a508313a180>,O=C1[CH]NC(=O)[C@](Cc2ccccc2)NC(=O)[C@](Cc2ccccc2)NC(=O)CCSSC[C@](C(=O)N2[CH]CCC2)NC(=O)[CH]N1,<rdkit.Chem.rdchem.Mol object at 0x7a50824f7920>
DB00050,Clc1ccc(C[C@@](NC(=O)C(NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@@](C(=O)N)C)CCC2)CCCN=C(N)N)CC(C)C)CCCNC(=O)N)Cc2ccc(O)cc2)CO)Cc2cnccc2)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a508313a1f0>,O=C([CH]NC(=O)[CH]NC(=O)[C](Cc1ccccc1)NC(=O)[CH]NC(=O)[C](Cc1cccnc1)NC(=O)[C](Cc1ccccc1)NC(=O)CCc1ccc2ccccc2c1)N[CH]C(=O)N1[CH]CCC1,<rdkit.Chem.rdchem.Mol object at 0x7a50824f7990>
DB00067,O=C(NCC(=O)N)C(NC(=O)C1N(C(=O)C2NC(=O)C(CC(=O)N)NC(=O)C(CCC(=O)N)NC(=O)C(Cc3ccccc3)NC(=O)C(Cc3ccc(O)cc3)NC(=O)C(N)CSSC2)CCC1)CCCNC(=N)N,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a508313a260>,O=C1CNC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccccc2)NC(=O)CCSSCC(C(=O)N2CCCC2)NC(=O)CN1,<rdkit.Chem.rdchem.Mol object at 0x7a50824f7a00>
DB00080,O=C(N[C@](C(=O)N[C@@]1C(=O)NCC(=O)N[C@@](CCCN)C(=O)N[C@@](CC(=O)O)C(=O)N[C@](C)C(=O)N[C@@](CC(=O)O)C(=O)NCC(=O)N[C@](CO)C(=O)N[C@@]([C@@](CC(=O)O)C)C(=O)N[C@@](CC(=O)c2c(N)cccc2)C(=O)O[C@@]1C)CC(=O)O)[C@](NC(=O)C(NC(=O)CCCCCCCCC)Cc1c2c([nH]c1)cccc2)CC(=O)N,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a508313a2d0>,O=C1[CH]NC(=O)[CH]NC(=O)CNC(=O)[C@](NC(=O)[CH]NC(=O)[CH]NC(=O)CCc2c[nH]c3ccccc23)[CH]OC(=O)[C@](CC(=O)c2ccccc2)NC(=O)[CH]NC(=O)[CH]NC(=O)CNC(=O)[CH]NC(=O)[CH]N1,<rdkit.Chem.rdchem.Mol object at 0x7a50824f7a70>
DB00091,O=C1N(C)C([C@](O)[C@@](C/C=C/C)C)C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)[C@@](CC(C)C)C(=O)N[C@@](C(C)C)C(=O)N(C)[C@@](CC(C)C)C(=O)N[C@@](C)C(=O)N[C@](C)C(=O)N(C)[C@@](CC(C)C)C(=O)N(C)[C@@](CC(C)C)C(=O)N(C)[C@]1C(C)C,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a508313a340>,O=C1[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)CNC(=O)CNC(=O)CNC(=O)[CH]NC(=O)[CH]NC(=O)[CH]NC(=O)[CH]N1,<rdkit.Chem.rdchem.Mol object at 0x7a50824f7ae0>
DB00106,Clc1ccc(C[C@@](NC(=O)C(NC(=O)C)Cc2cc3c(cc2)cccc3)C(=O)N[C@@](C(=O)N[C@](C(=O)N([C@](C(=O)N[C@@](C(=O)N[C@](C(=O)N[C@](C(=O)N2[C@](C(=O)N[C@@](C(=O)N)C)CCC2)CCCCNC(C)C)CC(C)C)CC(=O)N)Cc2ccc(O)cc2)C)CO)Cc2cnccc2)cc1,FDA,<rdkit.Chem.rdchem.Mol object at 0x7a508313a3b0>,O=C([CH]NC(=O)[CH]NC(=O)[C](Cc1ccccc1)NC(=O)[CH]NC(=O)[C](Cc1cccnc1)NC(=O)[C](Cc1ccccc1)NC(=O)CCc1ccc2ccccc2c1)N[CH]C(=O)N1[CH]CCC1,<rdkit.Chem.rdchem.Mol object at 0x7a50824f7b50>
