ID,Solvent,SMILES,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,a_acid,a_aro,a_base,a_nBr,a_nCl,a_nF,a_nI,a_nN,a_nO,a_nP,b_rotR,chiral
1,C,O=C(O[C@]12[C@@](O)C[C@](OC(=O)C)[C@@]3(C)[C@@](OC(=O)C)[C@](OC(=O)C)C4=C(C)[C@@](OC(=O)C)C[C@@]4(C(OC(=O)c4ccccc4)(C)C)[C@@](OC1)[C@]23)C,14,1,3.1568,187.25999,714.76099,0.62162161,51,5,14,8,3,1,1,0,1,0,6,0,0,0,0,0,0,14,0,0.25454545,10
2,C,O=C(O[C@@]1[C@]2(C)[C@@](OC(=O)C)C[C@](O)[C@]3(O)[C@]2[C@@]([C@@]2(C(OC(=O)c4ccccc4)(C)C)C(=C(C)[C@@](O)C2)[C@]1OC(=O)C)OC3)C,12,3,2.0151999,175.12,630.68701,0.63636363,45,5,12,6,3,1,1,0,1,0,6,0,0,0,0,0,0,12,0,0.20408164,10
3,C,O=C(O[C@@]1[C@]2(C)[C@@](OC(=O)C)C[C@](O)[C@]3(O)[C@]2[C@@]([C@@]2(C(=C)C)C(=C(C)[C@@](OC(=O)C)C2)[C@]1OC(=O)C)OC3)C,11,2,1.5265,154.89,550.60101,0.71428573,39,4,11,5,3,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0.21428572,10
4,C,O=C(O[C@@]1[C@]2(C)[C@@](OC(=O)C)C[C@](O)[C@]3(O)[C@]2[C@@]([C@@]2(C(=C)C)C(=C(C)[C@@](O)C2)[C@]1OC(=O)C)OC3)C,10,3,0.95569998,148.82001,508.564,0.73076922,36,4,10,4,3,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0.17948718,10
5,C,O=C(OC[C@]1(O)[C@@](O)C[C@](OC(=O)C)[C@@]2(C)[C@@](OC(=O)C)[C@](OC(=O)C)C3=C(C)[C@@](OC(=O)C)C[C@](C3(C)C)[C@@](OC(=O)C)[C@]12)C,14,2,1.7024,198.25999,654.70599,0.75,46,3,14,7,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.27083334,10
6,M,O=C(OC(C)(C)[C@]12[C@@](OC(=O)C)[C@@]3C(=C)[C@@](O)C[C@](O)[C@@]3(C)[C@@](OC(=O)C)[C@](O)C1=C(C)[C@@](O)C2)C,10,4,0.93769997,159.82001,510.57999,0.73076922,36,3,10,4,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.18421052,9
7,M,O=C(O[C@@]1[C@@]2(C)[C@@](C(=C)[C@@](OC(=O)C)CC2)C[C@@]2(C(O)(C)C)C(=C(C)[C@@](OC(=O)C)C2)[C@]1OC(=O)C)C,9,1,3.5669,125.43,520.61902,0.71428573,37,3,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.23076923,7
8,C,O=C(O[C@@]1[C@]2(C)[C@@](OC(=O)C)C[C@](O)[C@]3(O)[C@]2[C@@]([C@@]2(C(O)(C)C)C(=C(C)[C@@](O)C2)[C@]1O)OC3)C,10,5,-0.42030001,162.98,484.54199,0.83333331,34,4,10,3,3,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0.13513513,10
9,C,O=C(O[C@@]1[C@]2(C)[C@@](OC(=O)C)C[C@](O)[C@]3(O)[C@]2[C@@]([C@@]2(C(O)(C)C)C(=C(C)[C@@](OC(=O)C)C2)[C@]1O)OC3)C,11,4,0.1505,169.05,526.57898,0.80769229,37,4,11,4,3,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0.175,10
10,C,O=C(OC[C@]12[C@@](O)[C@](O)C3=C(C)[C@@](OC(=O)C)C[C@@]3(C(O)(C)C)[C@@](OC(=O)c3ccccc3)[C@@]1[C@@]1(OC(=O)C)[C@](OC1)C[C@@]2O)C,13,4,0.98760003,195.35001,646.68597,0.63636363,46,5,13,7,3,1,1,0,1,0,6,0,0,0,0,0,0,13,0,0.22,10
