ID,SMILES,DATASET,HBA,HBD,LOGP,TPSA,MW,CSP3,HEAVY,RING,HETATOMS,ROTBONDS,CARBOALICYCLIC,HETEROALICYCLIC,CARBOAROMATIC,HETEROAROMATIC,AROMATIC,ACID_ATOMS,AROM_ATOMS,BASIC_ATOMS,BROMINE,CHLORINE,FLUORINE,IODINE,NITROGEN,OXYGEN,PHOSPHORUS,FRACROTBOND,CHIRALCENTERS,HALOGEN
UNPD_subset_A_1,O=C1c2c(O[C@]3[C@](O)[C@@](O)[C@](O)[C@@](CO)O3)c(O)c(C)cc2C(=O)c2c1c(O)cc(O)c2,UNPD-A,11,7,-0.93408,194.21001,448.38,0.33333334,32,4,11,3,1,1,2,0,2,0,12,0,0,0,0,0,0,11,0,0.085714288,5,0
UNPD_subset_A_2,N(CCCCNCCCCNCCCCN)(CCCCNCCCCN)CCCCN,UNPD-A,7,6,1.6145,117.39,443.76901,1.0,31,0,7,27,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.89999998,0,0
UNPD_subset_A_3,O=C1N(C)/C(=N/C)/N(C)C1=Cc1c2c([nH]c1)cccc2,UNPD-A,2,1,1.8983999,51.700001,268.32001,0.2,20,3,5,1,0,1,1,1,2,0,9,0,0,0,0,0,4,1,0,0.045454547,0,0
UNPD_subset_A_4,O=C(O[C@]1[C@]2[C@@](C)([C@@](C)CC1)CC(=O)C2)C(=CC)C,UNPD-A,3,0,3.2797,43.369999,264.36499,0.75,19,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.15000001,4,0
UNPD_subset_A_5,Cc1ccccc1,UNPD-A,0,0,1.99502,0.0,92.140999,0.14285715,7,1,0,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0.0,0,0
UNPD_subset_A_6,O=C(O[C@]1[C@](C)[C@]2(C)C(=CC1)CC(=O)C(C(O)(C)C)=C2)C(=CC)C,UNPD-A,4,1,3.507,63.599998,332.44,0.60000002,24,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.16,3,0
UNPD_subset_A_7,O(C)c1c(O)cccc1C=1Oc2c(OC)c(OC)cc(O)c2C(=O)C=1,UNPD-A,7,2,2.8970001,98.360001,344.319,0.16666667,25,3,7,4,0,0,2,1,3,0,12,0,0,0,0,0,0,7,0,0.14814815,0,0
UNPD_subset_A_8,O(C)C=1C(=O)c2c(O)c(c(C)cc2C(=O)C=1)C=1C(=O)c2c(c(O)cc(C)c2)C(=O)C=1,UNPD-A,7,2,3.08654,117.97,404.37399,0.13043478,30,4,7,2,2,0,2,0,2,0,12,0,0,0,0,0,0,7,0,0.060606062,0,0
UNPD_subset_A_9,O=C1[C@]2(C)[C@@](O)([C@]3(C)[C@@](C)O3)O[C@@]3[C@@]2C(O1)=CC(C)=C1O[C@@](C)(C(=O)C1)C3,UNPD-A,7,1,1.7402,94.589996,376.405,0.69999999,27,5,7,1,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0.032258064,7,0
UNPD_subset_A_10,O=C(O[C@]1[C@]2(C)[C@](O)([C@@](O)C)CC[C@]2(O)[C@@]2(O)[C@@]([C@]3(C)C(=CC2)C[C@@](O)CC3)C1)c1ccccc1,UNPD-A,7,5,2.4872999,127.45,486.60501,0.6785714,35,5,7,3,4,0,1,0,1,0,6,0,0,0,0,0,0,7,0,0.1025641,9,0
