ID,SMILES,DATASET,MOL,SCAFFOLD,SCA_MOL
UNPD_subset_A_1,O=C1c2c(O[C@]3[C@](O)[C@@](O)[C@](O)[C@@](CO)O3)c(O)c(C)cc2C(=O)c2c1c(O)cc(O)c2,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e180>,O=C1c2ccccc2C(=O)c2c(O[C]3[CH][CH][CH][CH]O3)cccc21,<rdkit.Chem.rdchem.Mol object at 0x7a508233b920>
UNPD_subset_A_2,N(CCCCNCCCCNCCCCN)(CCCCNCCCCN)CCCCN,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e1f0>,,<rdkit.Chem.rdchem.Mol object at 0x7a508233b990>
UNPD_subset_A_3,O=C1N(C)/C(=N/C)/N(C)C1=Cc1c2c([nH]c1)cccc2,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e260>,N=C1NC(=O)C(=Cc2c[nH]c3ccccc23)N1,<rdkit.Chem.rdchem.Mol object at 0x7a508233ba00>
UNPD_subset_A_4,O=C(O[C@]1[C@]2[C@@](C)([C@@](C)CC1)CC(=O)C2)C(=CC)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e2d0>,O=C1C[C]2[CH]CC[CH]C2C1,<rdkit.Chem.rdchem.Mol object at 0x7a508233ba70>
UNPD_subset_A_5,Cc1ccccc1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e340>,c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508233bae0>
UNPD_subset_A_6,O=C(O[C@]1[C@](C)[C@]2(C)C(=CC1)CC(=O)C(C(O)(C)C)=C2)C(=CC)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e3b0>,O=C1C=CC2[CH][CH]CC=C2C1,<rdkit.Chem.rdchem.Mol object at 0x7a508233bb50>
UNPD_subset_A_7,O(C)c1c(O)cccc1C=1Oc2c(OC)c(OC)cc(O)c2C(=O)C=1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e420>,O=c1cc(-c2ccccc2)oc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x7a508233bbc0>
UNPD_subset_A_8,O(C)C=1C(=O)c2c(O)c(c(C)cc2C(=O)C=1)C=1C(=O)c2c(c(O)cc(C)c2)C(=O)C=1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e490>,O=C1C=CC(=O)c2cc(C3=CC(=O)c4ccccc4C3=O)ccc21,<rdkit.Chem.rdchem.Mol object at 0x7a508233bc30>
UNPD_subset_A_9,O=C1[C@]2(C)[C@@](O)([C@]3(C)[C@@](C)O3)O[C@@]3[C@@]2C(O1)=CC(C)=C1O[C@@](C)(C(=O)C1)C3,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e500>,O=C1CC2=CC=C3OC(=O)C4[C]3[C](CC1O2)OC4C1[CH]O1,<rdkit.Chem.rdchem.Mol object at 0x7a508233bca0>
UNPD_subset_A_10,O=C(O[C@]1[C@]2(C)[C@](O)([C@@](O)C)CC[C@]2(O)[C@@]2(O)[C@@]([C@]3(C)C(=CC2)C[C@@](O)CC3)C1)c1ccccc1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e570>,O=C(O[C]1C[C]2C3CC[CH]CC3=CCC2C2CCCC12)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7a508233bd10>
UNPD_subset_A_11,O=C(O[C@]1[C@]2(C)[C@](O)(C(=O)C)CC[C@]2(O)[C@@]2(O)[C@@]([C@]3(C)C(=CC2)C[C@@](O[C@@]2O[C@](C)[C@@](O[C@@]4O[C@](C)[C@@](O[C@@]5O[C@@](C)[C@](O[C@@]6O[C@](C)[C@@](O[C@@]7O[C@@](C)[C@](O)[C@](OC)C7)[C@@](OC)C6)[C@](OC)C5)[C@](OC)C4)[C@@](O)C2)CC3)C1)C=C(C(C)C)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e5e0>,[CH]1[CH]C[C](O[C@]2[CH]C[C@](O[C@]3[CH]C[C@@](O[C@]4[CH]C[C@](O[C@]5[CH]C[C@](O[C]6CCC7[C]8C[CH]C9CCCC9C8CC=C7C6)O[CH]5)O[CH]4)O[CH]3)O[CH]2)O[CH]1,<rdkit.Chem.rdchem.Mol object at 0x7a508233bd80>
UNPD_subset_A_12,O=C(/C=C/c1c(OC)ccc2c1OC(=O)CC2)C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e650>,O=C1CCc2ccccc2O1,<rdkit.Chem.rdchem.Mol object at 0x7a508233bdf0>
UNPD_subset_A_13,O=C1[C@]2(C)O[C@]3C(C)C(=O)O[C@]3[C@@]2[C@@]2[C@@]3(O)C(=O)C4[C@@](O)C[C@]5C(C)(C)O[C@]6[C@@]5(OC(=O)C6)C[C@@]4(O3)CC[C@]12C,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e6c0>,O=C1C[C]2OC3[C]([C]2O1)[C]1C(CC[C@]24C[C@]56OC(=O)C[C]5OC[C]6C[CH]C2C(=O)C1O4)C3=O,<rdkit.Chem.rdchem.Mol object at 0x7a508233be60>
UNPD_subset_A_14,O=C1O[C@@]23C(=C1)CC[C@@](N1[C@]2CCC1)C3,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e730>,O=C1C=C2CC[C]3C[C@@]2(O1)[C]1CCCN31,<rdkit.Chem.rdchem.Mol object at 0x7a508233bed0>
UNPD_subset_A_15,O=C1OC=C([C@@]2[C@]3(C)[C@@](O)([C@]4[C@@]([C@@]5(C)[C@](O)C[C@](O)C[C@]5CC4)CC3)CC2)C=C1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e7a0>,O=c1ccc([C]2CCC3[C]4CC[C]5C[CH]C[CH]C5[C]4CCC23)co1,<rdkit.Chem.rdchem.Mol object at 0x7a508233bf40>
UNPD_subset_A_16,O=C(O[C@@]1[C@@]2(C)C(C)(C)[C@@](C1)CC2)C=Cc1c(OC)cc(O)cc1,UNPD-A,<rdkit.Chem.rdchem.Mol object at 0x7a5082f7e810>,O=C(C=Cc1ccccc1)O[C]1C[C]2CCC1C2,<rdkit.Chem.rdchem.Mol object at 0x7a508233c040>
